ts,loss,acc,val_loss,val_acc
1571330277,0.144004076719,0.77,0.165815681219,0.75
1571330277,0.143447294831,0.8,0.105125308037,0.85
1571330278,0.126628994942,0.83,0.152400910854,0.79
1571330278,0.137383177876,0.79,0.161707535386,0.8
1571330278,0.179378181696,0.76,0.194177433848,0.76
1571330278,0.1528506428,0.76,0.170559048653,0.77
1571330278,0.100874885917,0.85,0.117077410221,0.85
1571330278,0.133389800787,0.79,0.203916057944,0.7
1571330279,0.163658037782,0.74,0.111741766334,0.82
1571330279,0.135135442019,0.79,0.149361014366,0.77
1571330279,0.169741794467,0.73,0.160935565829,0.75
1571330279,0.168177694082,0.76,0.178722545505,0.72
1571330279,0.159648701549,0.77,0.147666707635,0.79
1571330279,0.121979273856,0.8,0.156732916832,0.78
1571330280,0.155067443848,0.76,0.160997033119,0.78
1571330280,0.162223115563,0.77,0.174432426691,0.75
1571330280,0.135906949639,0.75,0.162594914436,0.77
1571330280,0.129100218415,0.81,0.144263148308,0.81
1571330280,0.175898954272,0.76,0.126769185066,0.84
1571330280,0.157291918993,0.72,0.149023428559,0.81
1571330281,0.140745401382,0.83,0.146378353238,0.76
1571330281,0.148188322783,0.76,0.149124011397,0.77
1571330281,0.149723425508,0.8,0.126445353031,0.84
1571330281,0.152669772506,0.78,0.174125254154,0.77
1571330281,0.139579072595,0.84,0.17620113492,0.76
1571330281,0.141978606582,0.79,0.120700635016,0.86
1571330282,0.121169582009,0.84,0.13541123271,0.78
1571330282,0.114404715598,0.84,0.152970835567,0.75
1571330282,0.168567627668,0.73,0.171495959163,0.74
1571330282,0.159235149622,0.77,0.144003406167,0.79
1571330282,0.205587804317,0.73,0.178141102195,0.76
1571330282,0.13289950788,0.83,0.153052985668,0.8
1571330282,0.115896143019,0.84,0.190585911274,0.72
1571330283,0.148676708341,0.79,0.164121091366,0.75
1571330283,0.123752653599,0.85,0.161792322993,0.73
1571330283,0.139437764883,0.8,0.156639590859,0.74
1571330283,0.176127016544,0.74,0.132205352187,0.81
1571330283,0.17207916081,0.75,0.146626576781,0.77
1571330283,0.160031303763,0.72,0.14797244966,0.79
1571330284,0.122101962566,0.86,0.14311145246,0.82
1571330284,0.130478560925,0.81,0.123071871698,0.85
1571330284,0.112792700529,0.865384615385,0.147609367967,0.78
1571330284,0.164981380105,0.76,0.158637285233,0.76
